RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
134,4,2014-08-30T04:00:00.000Z,SHELBY DR ,18095,Unsexed - 1 Year         ,2010,2300
135,4,2017-07-27T04:00:00.000Z,RUGBY AVE ,18096,Unsexed - 1 Year         ,2010,1400
136,4,2014-03-07T05:00:00.000Z,UNKNOWN ,18097,Unsexed - 1 Year         ,2010,1900
137,4,2018-12-21T05:00:00.000Z,NORTH BAKER ST ,18098,Unsexed - 1 Year         ,2010,100
138,4,2018-04-28T04:00:00.000Z,KERRY LN ,18099,Unsexed - 1 Year         ,2010,2500
139,4,2012-07-25T04:00:00.000Z,CABELL AVE ,18100,Unsexed - 1 Year         ,2010,8200
140,4,2020-09-26T04:00:00.000Z,GRACE ST ,18101,Unsexed - 1 Year         ,2010,1400
141,4,2010-08-23T04:00:00.000Z,WERTLAND ST ,18102,Unsexed - 1 Year         ,2010,1300
142,4,2011-07-16T04:00:00.000Z,BIRDWOOD CT ,18103,Unsexed - 1 Year         ,2010,100
143,4,2011-03-18T04:00:00.000Z,PRESTON AVE ,18104,Unsexed - 1 Year         ,2010,1100
144,10,2011-03-25T04:00:00.000Z,UNKNOWN ,18105,Sexed - 1 Year           ,2010,2200
145,4,2011-03-18T04:00:00.000Z,14TH ST NW ,18106,Unsexed - 1 Year         ,2010,300
146,4,2014-05-24T04:00:00.000Z,5TH ST SW ,18107,Unsexed - 1 Year         ,2010,200
147,4,2010-07-02T04:00:00.000Z,WASHINGTON AVE ,18108,Unsexed - 1 Year         ,2010,100
148,4,2011-02-17T05:00:00.000Z,SUNSET RD ,18109,Unsexed - 1 Year         ,2010,0
149,4,2019-03-02T05:00:00.000Z,HOLLY CT ,18110,Unsexed - 1 Year         ,2010,100
150,4,2011-03-30T04:00:00.000Z,FOREST ST ,18111,Unsexed - 1 Year         ,2010,900
151,4,2014-04-01T04:00:00.000Z,GARRETT ST ,18112,Unsexed - 1 Year         ,2010,4000
152,10,2011-04-03T04:00:00.000Z,STONEHENGE AVE ,18113,Sexed - 1 Year           ,2010,900
153,4,2014-08-01T04:00:00.000Z,,18114,Unsexed - 1 Year         ,2010,0
154,4,2017-03-14T04:00:00.000Z,CALHOUN ST ,18115,Unsexed - 1 Year         ,2010,800
155,4,2017-03-14T04:00:00.000Z,CALHOUN ST ,18116,Unsexed - 1 Year         ,2010,800
156,4,2011-03-23T04:00:00.000Z,TODD AVE ,18117,Unsexed - 1 Year         ,2010,200
157,4,2014-02-24T05:00:00.000Z,UNASSIGNED ,18118,Unsexed - 1 Year         ,2010,0
158,4,2014-05-04T04:00:00.000Z,PARK HILL ,18119,Unsexed - 1 Year         ,2010,500
159,4,2013-10-06T04:00:00.000Z,KERRY LN ,18120,Unsexed - 1 Year         ,2010,2500
160,10,2016-05-15T04:00:00.000Z,MEADE AVE ,18121,Sexed - 1 Year           ,2010,500
161,4,2011-04-14T04:00:00.000Z,DICE ST ,18122,Unsexed - 1 Year         ,2010,200
162,4,2019-09-19T04:00:00.000Z,ELKHORN RD ,18123,Unsexed - 1 Year         ,2010,100
163,4,2011-03-26T04:00:00.000Z,RIVER CT ,18124,Unsexed - 1 Year         ,2010,11100
